date,price
1/1/2004,198.82
2/1/2004,204.07
3/1/2004,225.8
4/1/2004,240.71
5/1/2004,236.14
6/1/2004,230.74
7/1/2004,228.96
8/1/2004,232.72
9/1/2004,224.17
10/1/2004,222.14
11/1/2004,233.07
12/1/2004,238.51
1/1/2005,255.32
2/1/2005,265.64
3/1/2005,262.92
4/1/2005,259.92
5/1/2005,256.14
6/1/2005,241.49
7/1/2005,237.28
8/1/2005,255.65
9/1/2005,257
10/1/2005,269.36
11/1/2005,272
12/1/2005,267.93
1/1/2006,263.86
2/1/2006,264.29
3/1/2006,244.86
4/1/2006,244.25
5/1/2006,256.23
6/1/2006,259.43
7/1/2006,257.43
8/1/2006,263.63
9/1/2006,267.71
10/1/2006,283.21
11/1/2006,288.1575
12/1/2006,293.105
1/1/2007,298.0525
2/1/2007,303
3/1/2007,304.93
4/1/2007,302.25
5/1/2007,300.36
6/1/2007,302.49
7/1/2007,302.71
8/1/2007,310
9/1/2007,315.25
10/1/2007,323
11/1/2007,320
12/1/2007,385.7142857
1/1/2008,451.4285714
2/1/2008,517.1428571
3/1/2008,582.8571429
4/1/2008,648.5714286
5/1/2008,714.2857143
6/1/2008,780
7/1/2008,698
8/1/2008,607.5
9/1/2008,561.78
10/1/2008,478.57
11/1/2008,431.07
12/1/2008,413
1/1/2009,386.79
2/1/2009,418.09
3/1/2009,424.045
4/1/2009,430
5/1/2009,405.18
6/1/2009,404.28
7/1/2009,410.23
8/1/2009,395.72
9/1/2009,392.86
10/1/2009,414.11
11/1/2009,491.6
12/1/2009,529.91
1/1/2010,485.28
2/1/2010,421.78
3/1/2010,392.57
4/1/2010,371.17
5/1/2010,368.82
6/1/2010,358.22
7/1/2010,357.86
8/1/2010,422.86
9/1/2010,457.68
10/1/2010,477.68
11/1/2010,508.03
12/1/2010,528.29
1/1/2011,493.86
2/1/2011,478.57
3/1/2011,464
4/1/2011,484.29
5/1/2011,479.64
6/1/2011,475.28
7/1/2011,519.46
8/1/2011,553.43
9/1/2011,561.43
10/1/2011,580.54
11/1/2011,568.75
12/1/2011,504.43
1/1/2012,451.43
2/1/2012,430.43
3/1/2012,428.75
4/1/2012,440.72
5/1/2012,433.29
6/1/2012,411.96
7/1/2012,409.28
8/1/2012,436.43
9/1/2012,455.18
10/1/2012,453.74
11/1/2012,448.32
12/1/2012,413.75
1/1/2013,401.24
2/1/2013,401.64
3/1/2013,401.61
4/1/2013,390.76
5/1/2013,386.85
6/1/2013,385.93
7/1/2013,387.74
8/1/2013,399.44
9/1/2013,362
10/1/2013,376.32
11/1/2013,395.88
12/1/2013,419.41
1/1/2014,402
2/1/2014,393.16
3/1/2014,378.57
4/1/2014,370.91
5/1/2014,390.48
6/1/2014,404.5
7/1/2014,420.87
8/1/2014,442.62
9/1/2014,442.05
10/1/2014,436.96
11/1/2014,422
12/1/2014,382.39
1/1/2015,374.42
2/1/2015,353.5
3/1/2015,360.74
4/1/2015,354.02
5/1/2015,351
6/1/2015,349
7/1/2015,345.78
8/1/2015,340.13
9/1/2015,326.43
10/1/2015,342.4
11/1/2015,353.61
12/1/2015,371
1/1/2016,364.91
2/1/2016,360.13
3/1/2016,360.2
4/1/2016,371
5/1/2016,377.31
6/1/2016,372.46
7/1/2016,361.57
8/1/2016,347.46
9/1/2016,342.73
10/1/2016,336.39
11/1/2016,338
12/1/2016,341
1/1/2017,336.55
2/1/2017,335.34
3/1/2017,343.56
4/1/2017,344.65
5/1/2017,345
6/1/2017,357.18
7/1/2017,385.87
8/1/2017,390.37
9/1/2017,382
10/1/2017,376.19
11/1/2017,379.01
12/1/2017,383.24
1/1/2018,380.94
2/1/2018,395.43
3/1/2018,409.92
4/1/2018,413.43
5/1/2018,419
6/1/2018,443.1
7/1/2018,440.65
8/1/2018,401.56
9/1/2018,384.65
10/1/2018,389.8
11/1/2018,395.73
12/1/2018,399.52
1/1/2019,396.31
2/1/2019,367.95
3/1/2019,342.62
4/1/2019,341.11
5/1/2019,350.94
6/1/2019,358.82
7/1/2019,360.16
8/1/2019,362.39
9/1/2019,350.85
10/1/2019,325.79
11/1/2019,328.24
12/1/2019,337.43
1/1/2020,348.68
2/1/2020,357.42
3/1/2020,372.58
4/1/2020,407.14
5/1/2020,438.42
6/1/2020,449.46
7/1/2020,444.19
8/1/2020,448.91
9/1/2020,462.66
10/1/2020,459.17
11/1/2020,469.5
12/1/2020,477.39
1/1/2021,490.98
2/1/2021,500.48
3/1/2021,498.38
4/1/2021,488.17
5/1/2021,477.7
6/1/2021,474
7/1/2021,436.17
8/1/2021,384.46
9/1/2021,387.3
10/1/2021,404.46
11/1/2021,411.41
12/1/2021,402.66
1/1/2022,395.94
2/1/2022,384.21
3/1/2022,391.67
4/1/2022,402.38
5/1/2022,406.45
6/1/2022,411.92
7/1/2022,411.09
8/1/2022,395.8
9/1/2022,391.78
